_start meta data
_update_action,SKU_Oferta,SKU_Conteudo
modify,banda_larga_basico_fid_po_15mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_basico_fid_po_15mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_basico_fid_po_25mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_basico_fid_po_25mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_basico_fid_po_35mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_basico_fid_po_35mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_intermediario_fid_po_15mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_intermediario_fid_po_15mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_intermediario_fid_po_25mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_intermediario_fid_po_25mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_intermediario_fid_po_35mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_intermediario_fid_po_35mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_top_fid_po_15mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_top_fid_po_15mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_top_fid_po_25mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_top_fid_po_25mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_top_fid_po_35mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_top_fid_po_35mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_basico_fid_guer_15mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_basico_fid_guer_15mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_basico_fid_guer_25mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_basico_fid_guer_25mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_basico_fid_guer_35mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_basico_fid_guer_35mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_intermediario_fid_guer_15mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_intermediario_fid_guer_15mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_intermediario_fid_guer_25mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_intermediario_fid_guer_25mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_intermediario_fid_guer_35mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_intermediario_fid_guer_35mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_top_fid_guer_15mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_top_fid_guer_15mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_top_fid_guer_25mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_top_fid_guer_25mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_top_fid_guer_35mb_com_sva_r1,bl_oi_Educa
modify,banda_larga_top_fid_guer_35mb_com_sva_r2,bl_oi_Educa
modify,banda_larga_basico_nvend_fid_padrao_15mb_com_sva_brasil_combos,bl_oi_Educa
modify,fixo_allnet_fibra_combos_nvend_fid,fixo_identificador_de_chamadas
modify,fixo_allnet_fibra_combos_nvend_fid,fixo_chamada_em_espera
modify,banda_larga_fibra_50mb_am,bl_modem_wifi
modify,banda_larga_fibra_100mb_am,bl_modem_wifi
modify,banda_larga_fibra_200mb_am,bl_modem_wifi
modify,banda_larga_fibra_50mb_ba,bl_modem_wifi
modify,banda_larga_fibra_100mb_ba,bl_modem_wifi
modify,banda_larga_fibra_200mb_ba,bl_modem_wifi
modify,banda_larga_fibra_50mb_ce,bl_modem_wifi
modify,banda_larga_fibra_100mb_ce,bl_modem_wifi
modify,banda_larga_fibra_200mb_ce,bl_modem_wifi
modify,mgnda_larga_fibra_50mb_mg,bl_modem_wifi
modify,mgnda_larga_fibra_100mb_mg,bl_modem_wifi
modify,mgnda_larga_fibra_200mb_mg,bl_modem_wifi
modify,banda_larga_fibra_50mb_pe,bl_modem_wifi
modify,banda_larga_fibra_100mb_pe,bl_modem_wifi
modify,banda_larga_fibra_200mb_pe,bl_modem_wifi
modify,banda_larga_fibra_50mb_rj,bl_modem_wifi
modify,banda_larga_fibra_100mb_rj,bl_modem_wifi
modify,banda_larga_fibra_200mb_rj,bl_modem_wifi
modify,banda_larga_fibra_voip_50mb_am,bl_modem_wifi
modify,banda_larga_fibra_voip_100mb_am,bl_modem_wifi
modify,banda_larga_fibra_voip_200mb_am,bl_modem_wifi
modify,banda_larga_fibra_voip_50mb_ba,bl_modem_wifi
modify,banda_larga_fibra_voip_100mb_ba,bl_modem_wifi
modify,banda_larga_fibra_voip_200mb_ba,bl_modem_wifi
modify,banda_larga_fibra_voip_50mb_ce,bl_modem_wifi
modify,banda_larga_fibra_voip_100mb_ce,bl_modem_wifi
modify,banda_larga_fibra_voip_200mb_ce,bl_modem_wifi
modify,mgnda_larga_fibra_voip_50mb_mg,bl_modem_wifi
modify,mgnda_larga_fibra_voip_100mb_mg,bl_modem_wifi
modify,mgnda_larga_fibra_voip_200mb_mg,bl_modem_wifi
modify,banda_larga_fibra_voip_50mb_pe,bl_modem_wifi
modify,banda_larga_fibra_voip_100mb_pe,bl_modem_wifi
modify,banda_larga_fibra_voip_200mb_pe,bl_modem_wifi
modify,banda_larga_fibra_voip_50mb_rj,bl_modem_wifi
modify,banda_larga_fibra_voip_100mb_rj,bl_modem_wifi
modify,banda_larga_fibra_voip_200mb_rj,bl_modem_wifi
modify,oi_total_fibra_banda_larga_fixo_basico_fid,fixo_identificador_de_chamadas
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,fixo_identificador_de_chamadas
modify,oi_total_fibra_banda_larga_fixo_top_fid,fixo_identificador_de_chamadas
modify,oi_total_fibra_banda_larga_fixo_basico_fid,fixo_chamada_em_espera
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,fixo_chamada_em_espera
modify,oi_total_fibra_banda_larga_fixo_top_fid,fixo_chamada_em_espera
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_oi_antivirus
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_oi_antivirus
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_oi_antivirus
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_oi_backup_cloud_50gb
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_oi_backup_cloud_50gb
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_oi_Educa
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_oi_Educa
modify,oi_total_fibra_banda_larga_fixo_basico_fid,bl_modem_wifi
modify,oi_total_fibra_banda_larga_fixo_intermediario_fid,bl_modem_wifi
modify,oi_total_fibra_banda_larga_fixo_top_fid,bl_modem_wifi
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_se,fixo_identificador_de_chamadas
